"","mgi_symbol","ensembl_gene_id"
"594","Casp3","ENSMUSG00000031628"
"595","Tlr3","ENSMUSG00000031639"
"596","Rfx1","ENSMUSG00000031706"
"597","Il15","ENSMUSG00000031712"
"598","Hp","ENSMUSG00000031722"
"599","Il34","ENSMUSG00000031750"
"600","Cx3cl1","ENSMUSG00000031778"
"601","Ccl22","ENSMUSG00000031779"
"602","Ciapin1","ENSMUSG00000031781"
"603","Ifi30","ENSMUSG00000031838"
"604","Cbfb","ENSMUSG00000031885"
"605","Psmb10","ENSMUSG00000031897"
"606","Nfatc3","ENSMUSG00000031902"
"607","Smpd3","ENSMUSG00000031906"
"608","Bcar1","ENSMUSG00000031955"
"609","Jam3","ENSMUSG00000031990"
"610","Thy1","ENSMUSG00000032011"
"611","Ets1","ENSMUSG00000032035"
"612","Kirrel3","ENSMUSG00000032036"
"613","Tirap","ENSMUSG00000032041"
"614","Cadm1","ENSMUSG00000032076"
"615","Nlrx1","ENSMUSG00000032109"
"616","Slc37a4","ENSMUSG00000032114"
"617","Tyk2","ENSMUSG00000032175"
"618","Smarca4","ENSMUSG00000032187"
"619","Rab27a","ENSMUSG00000032202"
"620","Nedd4","ENSMUSG00000032216"
"621","Ccnb2","ENSMUSG00000032218"
"622","Myo1e","ENSMUSG00000032220"
"623","Anxa2","ENSMUSG00000032231"
"624","Rora","ENSMUSG00000032238"
"625","Irak1bp1","ENSMUSG00000032251"
"626","Ireb2","ENSMUSG00000032293"
"627","Csk","ENSMUSG00000032312"
"628","Mb21d1","ENSMUSG00000032344"
"629","Tinag","ENSMUSG00000032357"
"630","Ctsh","ENSMUSG00000032359"
"631","Plscr1","ENSMUSG00000032369"
"632","Smad3","ENSMUSG00000032402"
"633","Syncrip","ENSMUSG00000032423"
"634","Cmtm7","ENSMUSG00000032436"
"635","Tgfbr2","ENSMUSG00000032440"
